Parameter,Comment,Sphere Re=1,Sphere Re=20,Sphere Re=500,JBC-1.1a,KCS,MV Regal,,Sphere Re=10^1,Sphere Re=10^2,Sphere Re=10^3,Sphere Re=10^4,Sphere Re=10^5,Sphere Re=10^6,Sphere Re=10^7,Sphere Re=10^8
reynolds_number,calculated (sanity check),1.000E+00,2.000E+01,5.000E+02,8.23E+06,6.64E+06,9.91E+08,,1.000E+01,1.000E+02,1.000E+03,1.000E+04,1.000E+05,1.000E+06,1.000E+07,1.000E+08
characteristic_length,,0.01,0.01,0.01,7,7.2786,138,,1,1,1,1,1,1,1,1
c_s,lattice speed of sound,0.57735,0.57735,0.57735,0.57735,0.57735,0.57735,,0.57735,0.57735,0.57735,0.57735,0.57735,0.57735,0.57735,0.57735
nu (kinematic viscosity of water),,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06,,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06,1.003E-06
L (characteristic length),sphere diameter,0.01000,0.01000,0.01000,7,7.2786,138,,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
Re,Reynolds number (specified for sphere instances),1.00000,20.00000,500.00000,8.23E+06,6.64E+06,9.91E+08,,10.00000,100.00000,"1,000.00000","10,000.00000","100,000.00000","1,000,000.00000","10,000,000.00000","100,000,000.00000"
U_f(Re),as function of Re for sphere,0.00010,0.00201,0.05015,1.179E+00,0.915,7.202222231,,0.00001,0.00010,0.00100,0.01003,0.10030,1.00300,10.03000,100.30000
U_f(Re)*1.05,safety margin,0.00011,0.00211,0.05266,1.23795,0.96075,7.56233,,0.00001,0.00011,0.00105,0.01053,0.10532,1.05315,10.53150,105.31500
delta_x (Kolmogorov scale),space discretization,0.00500,0.00050,0.00003,5.00E-06,5.00E-06,5.0000E-07,,0.10000,0.01000,0.00100,0.00010,0.00001,0.00000,0.00000,0.00000
tau,prefer close to 1.,1.00000,1.00000,0.75000,0.6,0.6,0.6,,0.60000,0.60000,0.60000,0.60000,0.60000,0.60000,0.60000,0.60000
delta_t,time step discretization,4.15420,0.04154,0.00005,8.3084E-07,8.3084E-07,8.3084E-09,,332.33632436025300,3.32336324360253000,0.0332336324360253,0.00033233632436025,0.000003323363243602530000,0.00000003323363243603,0.00000000033233632436025,0.000000000003323363243602530
U_star_max,should be less than 0.3,0.08750,0.17500,0.10938,0.20571,0.15965,0.12566,,0.03500,0.03500,0.03500,0.03500,0.03500,0.03500,0.03500,0.03500
Lattice_Mach_number,,0.15155,0.30311,0.18944,0.35630,0.27652,0.21765,,0.06062,0.06062,0.06062,0.06062,0.06062,0.06062,0.06062,0.06062
